id,text_raw,text_light_clean,text_ml_clean,label,relation,likes,dislikes,source,split,text_normalized,label_original,was_user_relabeled
11,Sain Sainaa агаар сансарын цэрэг нь украйны агаарт ч ноёрхож чадахгүй л бн шдэ. Тийм аймаар агаар сансрын цэрэгтэй юм бол яагаад 420 гаран сөнөөгч онгоц 400 гаран нисдэг тэргээ украйнд алдав! Сүүлдээ бүр танкаа дуусаж илжиг морь унаж бн шдэ.,Sain Sainaa агаар сансарын цэрэг нь украйны агаарт ч ноёрхож чадахгүй л бн шдэ. Тийм аймаар агаар сансрын цэрэгтэй юм бол яагаад 420 гаран сөнөөгч онгоц 400 гаран нисдэг тэргээ украйнд алдав! Сүүлдээ бүр танкаа дуусаж илжиг морь унаж бн шдэ.,sain sainaa агаар сансарын цэрэг нь украйны агаарт ч ноёрхож чадахгүй л бн шдэ. тийм аймаар агаар сансрын цэрэгтэй юм бол яагаад 420 гаран сөнөөгч онгоц 400 гаран нисдэг тэргээ украйнд алдав! сүүлдээ бүр танкаа дуусаж илжиг морь унаж бн шдэ.,NEUTRAL,1,0,0,IKON.mn,train,Sain Sainaa агаар сансарын цэрэг нь украйны агаарт ч ноёрхож чадахгүй л бн шдэ. Тийм аймаар агаар сансрын цэрэгтэй юм бол яагаад 420 гаран сөнөөгч онгоц 400 гаран нисдэг тэргээ украйнд алдав! Сүүлдээ бүр танкаа дуусаж илжиг морь унаж бн шдэ.,NEUTRAL,False
12,70 хувь төр хаха ард түмэн,70 хувь төр хаха ард түмэн,70 хувь төр хаха ард түмэн,NEUTRAL,0,1,0,gogo.mn,val,70 хувь төр хаха ард түмэн,NEUTRAL,False
13,Хүүхдийн амиар наадаж ханадаггүй шуналын бузрууд,Хүүхдийн амиар наадаж ханадаггүй шуналын бузрууд,хүүхдийн амиар наадаж ханадаггүй шуналын бузрууд,TOXIC,0,3,0,gogo.mn,train,Хүүхдийн амиар наадаж ханадаггүй шуналын бузрууд,TOXIC,False
14,нохой зан нохойндоо гэдэг шиг ЛОЛ... энэ нэг өөрийгөө даанч мэдрэхгүймдаа ЛОЛ. Нэг унавал их өндрөөс шидэгдэж газар навс унаншүү Нянгаа кк...,нохой зан нохойндоо гэдэг шиг ЛОЛ.. энэ нэг өөрийгөө даанч мэдрэхгүймдаа ЛОЛ. Нэг унавал их өндрөөс шидэгдэж газар навс унаншүү Нянгаа кк..,нохой зан нохойндоо гэдэг шиг лол.. энэ нэг өөрийгөө даанч мэдрэхгүймдаа лол. нэг унавал их өндрөөс шидэгдэж газар навс унаншүү нянгаа кк..,TOXIC,0,0,0,gogo.mn,val,нохой зан нохойндоо гэдэг шиг ЛОЛ.. энэ нэг өөрийгөө даанч мэдрэхгүймдаа ЛОЛ. Нэг унавал их өндрөөс шидэгдэж газар навс унаншүү Нянгаа кк..,TOXIC,False
15,"Сэлэнгийнхэн газар тариалан эрхлэх дадлага чадварыг нутгийн (местный) орос, хятад иргэдээс сурсан нь үнэн! Тэглээ гээд монголчууд орос, хятад болчихоогүй! Харин ч бусад аймгуудаас илүү хөдөлмөрч, аж ахуйч, овсгоотой зан чанартай болсон! Юу нь муу байгаа юм бэ?! Тэдний тарьж ургуулсан хүнсний ногоог улс даяараа иддэг биз дээ? Хэрэв тэд тарьж ургуулаагүй бол хятадын химийн бордооны ногоо идэж үхэцгээх байсан!","Сэлэнгийнхэн газар тариалан эрхлэх дадлага чадварыг нутгийн (местный) орос, хятад иргэдээс сурсан нь үнэн! Тэглээ гээд монголчууд орос, хятад болчихоогүй! Харин ч бусад аймгуудаас илүү хөдөлмөрч, аж ахуйч, овсгоотой зан чанартай болсон! Юу нь муу байгаа юм бэ?! Тэдний тарьж ургуулсан хүнсний ногоог улс даяараа иддэг биз дээ? Хэрэв тэд тарьж ургуулаагүй бол хятадын химийн бордооны ногоо идэж үхэцгээх байсан!",сэлэнгийнхэн газар тариалан эрхлэх дадлага чадварыг нутгийн местный орос хятад иргэдээс сурсан нь үнэн! тэглээ гээд монголчууд орос хятад болчихоогүй! харин ч бусад аймгуудаас илүү хөдөлмөрч аж ахуйч овсгоотой зан чанартай болсон! юу нь муу байгаа юм бэ?! тэдний тарьж ургуулсан хүнсний ногоог улс даяараа иддэг биз дээ? хэрэв тэд тарьж ургуулаагүй бол хятадын химийн бордооны ногоо идэж үхэцгээх байсан!,POSITIVE,0,10,0,news.mn,val,"Сэлэнгийнхэн газар тариалан эрхлэх дадлага чадварыг нутгийн (местный) орос, хятад иргэдээс сурсан нь үнэн! Тэглээ гээд монголчууд орос, хятад болчихоогүй! Харин ч бусад аймгуудаас илүү хөдөлмөрч, аж ахуйч, овсгоотой зан чанартай болсон! Юу нь муу байгаа юм бэ?! Тэдний тарьж ургуулсан хүнсний ногоог улс даяараа иддэг биз дээ? Хэрэв тэд тарьж ургуулаагүй бол хятадын химийн бордооны ногоо идэж үхэцгээх байсан!",POSITIVE,False
16,Би бол алим идээд эсвэл усан үзэм идээд араас нь бүлээн ус нэг аягыг уудаг. Тэгээд л гардаг даа. Япон ягаан эм хоёр цагийн дотор шууд гаргадаг ш дээ бас,Би бол алим идээд эсвэл усан үзэм идээд араас нь бүлээн ус нэг аягыг уудаг. Тэгээд л гардаг даа. Япон ягаан эм хоёр цагийн дотор шууд гаргадаг ш дээ бас,би бол алим идээд эсвэл усан үзэм идээд араас нь бүлээн ус нэг аягыг уудаг. тэгээд л гардаг даа. япон ягаан эм хоёр цагийн дотор шууд гаргадаг ш дээ бас,NEUTRAL,0,0,0,Мэдэхгүй зүйлээ асуу,train,Би бол алим идээд эсвэл усан үзэм идээд араас нь бүлээн ус нэг аягыг уудаг. Тэгээд л гардаг даа. Япон ягаан эм хоёр цагийн дотор шууд гаргадаг ш дээ бас,NEUTRAL,False
17,"Эраэм ахад баяр хүргэе. Уул нь аль хэдийн л ардын цол авах байлаа. Харин өгөхгүй өнгөрөөгүйд нь л талархаж бн. Дээр үеийн 60,70аад оны олон схн дууны ая энэ хүнийх дээ. Туулын урсгал шөнөдөө сайхан гд л.","Эраэм ахад баяр хүргэе. Уул нь аль хэдийн л ардын цол авах байлаа. Харин өгөхгүй өнгөрөөгүйд нь л талархаж бн. Дээр үеийн 60,70аад оны олон схн дууны ая энэ хүнийх дээ. Туулын урсгал шөнөдөө сайхан гд л.",эраэм ахад баяр хүргэе. уул нь аль хэдийн л ардын цол авах байлаа. харин өгөхгүй өнгөрөөгүйд нь л талархаж бн. дээр үеийн 60 70аад оны олон схн дууны ая энэ хүнийх дээ. туулын урсгал шөнөдөө сайхан гд л.,POSITIVE,0,3,0,gogo.mn,train,"Эраэм ахад баяр хүргэе. Уул нь аль хэдийн л ардын цол авах байлаа. Харин өгөхгүй өнгөрөөгүйд нь л талархаж бн. Дээр үеийн 60,70аад оны олон схн дууны ая энэ хүнийх дээ. Туулын урсгал шөнөдөө сайхан гд л.",POSITIVE,False
18,"Анхнаасаа женок, ОЭ нарын гар хөл болдог л буруу болжээ, тэдний гар хөл бологсод сайнаа үздэггүй, нэг удаа ашиглагдаад л дуусдаг","Анхнаасаа женок, ОЭ нарын гар хөл болдог л буруу болжээ, тэдний гар хөл бологсод сайнаа үздэггүй, нэг удаа ашиглагдаад л дуусдаг",анхнаасаа женок оэ нарын гар хөл болдог л буруу болжээ тэдний гар хөл бологсод сайнаа үздэггүй нэг удаа ашиглагдаад л дуусдаг,NEUTRAL,0,6,1,news.mn,test,"Анхнаасаа женок, ОЭ нарын гар хөл болдог л буруу болжээ, тэдний гар хөл бологсод сайнаа үздэггүй, нэг удаа ашиглагдаад л дуусдаг",NEUTRAL,False
19,дээлээ өөрсдөө хийж өмсдөг байсан уламжлал алдагдсанаас болж хятадаас дээл орж ирдэг болжээ монгол айлын эзэгтэй хүн бага хүүхдэдээ баривч томоохонд нь морин цамц нөхөртөө өөртөө бүх төрлийн дээл оёчихдог байсан цаг үе бий,дээлээ өөрсдөө хийж өмсдөг байсан уламжлал алдагдсанаас болж хятадаас дээл орж ирдэг болжээ монгол айлын эзэгтэй хүн бага хүүхдэдээ баривч томоохонд нь морин цамц нөхөртөө өөртөө бүх төрлийн дээл оёчихдог байсан цаг үе бий,дээлээ өөрсдөө хийж өмсдөг байсан уламжлал алдагдсанаас болж хятадаас дээл орж ирдэг болжээ монгол айлын эзэгтэй хүн бага хүүхдэдээ баривч томоохонд нь морин цамц нөхөртөө өөртөө бүх төрлийн дээл оёчихдог байсан цаг үе бий,NEUTRAL,0,1,1,news.mn,train,дээлээ өөрсдөө хийж өмсдөг байсан уламжлал алдагдсанаас болж хятадаас дээл орж ирдэг болжээ монгол айлын эзэгтэй хүн бага хүүхдэдээ баривч томоохонд нь морин цамц нөхөртөө өөртөө бүх төрлийн дээл оёчихдог байсан цаг үе бий,NEUTRAL,False
20,"Маш зөв шийдвэр байна. Мөн телевиз, урлаг соёлын байгууллагуудын соён гэгээрүүлэх үйл ажиллагааг тодорхой босго, хяналттай болгох хэрэгтэй байна. Тeлeвизийн хөтлөгч нарын үг ярианы соёл/ хэт албан бус гудамны хар яриа, маазрах/ задгай хувцаслалт зэрэгт анхаарах хэрэгтэй.","Маш зөв шийдвэр байна. Мөн телевиз, урлаг соёлын байгууллагуудын соён гэгээрүүлэх үйл ажиллагааг тодорхой босго, хяналттай болгох хэрэгтэй байна. Телевизийн хөтлөгч нарын үг ярианы соёл/ хэт албан бус гудамны хар яриа, маазрах/ задгай хувцаслалт зэрэгт анхаарах хэрэгтэй.",маш зөв шийдвэр байна. мөн телевиз урлаг соёлын байгууллагуудын соён гэгээрүүлэх үйл ажиллагааг тодорхой босго хяналттай болгох хэрэгтэй байна. телевизийн хөтлөгч нарын үг ярианы соёл хэт албан бус гудамны хар яриа маазрах задгай хувцаслалт зэрэгт анхаарах хэрэгтэй.,CONSTRUCTIVE,0,2,0,gogo.mn,train,"Маш зөв шийдвэр байна. Мөн телевиз, урлаг соёлын байгууллагуудын соён гэгээрүүлэх үйл ажиллагааг тодорхой босго, хяналттай болгох хэрэгтэй байна. Телевизийн хөтлөгч нарын үг ярианы соёл/ хэт албан бус гудамны хар яриа, маазрах/ задгай хувцаслалт зэрэгт анхаарах хэрэгтэй.",CONSTRUCTIVE,False
21,"Асашорю ахынхаа алдааг давтаж болохгүй. Даруухан шудрага , хүнлэг, шуналгүй байвал бүхний хүндэтгэлийг хүлээнэ.","Асашорю ахынхаа алдааг давтаж болохгүй. Даруухан шудрага , хүнлэг, шуналгүй байвал бүхний хүндэтгэлийг хүлээнэ.",асашорю ахынхаа алдааг давтаж болохгүй. даруухан шудрага хүнлэг шуналгүй байвал бүхний хүндэтгэлийг хүлээнэ.,POSITIVE,0,0,1,news.mn,val,"Асашорю ахынхаа алдааг давтаж болохгүй. Даруухан шудрага , хүнлэг, шуналгүй байвал бүхний хүндэтгэлийг хүлээнэ.",POSITIVE,False
22,Шинэ хаяг хуучин хаяг гэж гарч ирхээр нь шинэ хаяг дээр дарах гэж бгаад хуучин хаяг дээр нь андуураад дарчихжээ энийг яаж залруулах вэ,Шинэ хаяг хуучин хаяг гэж гарч ирхээр нь шинэ хаяг дээр дарах гэж бгаад хуучин хаяг дээр нь андуураад дарчихжээ энийг яаж залруулах вэ,шинэ хаяг хуучин хаяг гэж гарч ирхээр нь шинэ хаяг дээр дарах гэж бгаад хуучин хаяг дээр нь андуураад дарчихжээ энийг яаж залруулах вэ,NEUTRAL,0,0,0,E-Mongolia,train,Шинэ хаяг хуучин хаяг гэж гарч ирхээр нь шинэ хаяг дээр дарах гэж бгаад хуучин хаяг дээр нь андуураад дарчихжээ энийг яаж залруулах вэ,NEUTRAL,False
23,"Аутизм гэдэг өвчин байдаггүй. Мангар хүүхдүүдтэй болсонтой эвлэрцгээ эсвэл тийм хүнд өвчин юм бол СЭМҮТ-д насаар нь хэвтүүлээд, хүчтэй эм тариа өгцгөө!","Аутизм гэдэг өвчин байдаггүй. Мангар хүүхдүүдтэй болсонтой эвлэрцгээ эсвэл тийм хүнд өвчин юм бол СЭМҮТ-д насаар нь хэвтүүлээд, хүчтэй эм тариа өгцгөө!",аутизм гэдэг өвчин байдаггүй. мангар хүүхдүүдтэй болсонтой эвлэрцгээ эсвэл тийм хүнд өвчин юм бол сэмүт-д насаар нь хэвтүүлээд хүчтэй эм тариа өгцгөө!,TOXIC,0,0,1,news.mn,val,"Аутизм гэдэг өвчин байдаггүй. Мангар хүүхдүүдтэй болсонтой эвлэрцгээ эсвэл тийм хүнд өвчин юм бол СЭМҮТ-д насаар нь хэвтүүлээд, хүчтэй эм тариа өгцгөө!",TOXIC,False
24,"Сүүлийн үеийн залуус яагаад ийм,бүдүүлэг ,сэтгэлгүй муухай ,хэрцгий болоод байнаа.Хөдөөний цус ойртсон,тэнэгүүд хотоор нэг болчихлоо.Усанд орохгүй,амаа угаахгүй шал өмхий.Арай л дэндүү байна.","Сүүлийн үеийн залуус яагаад ийм,бүдүүлэг ,сэтгэлгүй муухай ,хэрцгий болоод байнаа.Хөдөөний цус ойртсон,тэнэгүүд хотоор нэг болчихлоо.Усанд орохгүй,амаа угаахгүй шал өмхий.Арай л дэндүү байна.",сүүлийн үеийн залуус яагаад ийм бүдүүлэг сэтгэлгүй муухай хэрцгий болоод байнаа.хөдөөний цус ойртсон тэнэгүүд хотоор нэг болчихлоо.усанд орохгүй амаа угаахгүй шал өмхий.арай л дэндүү байна.,TOXIC,0,5,5,gogo.mn,train,"Сүүлийн үеийн залуус яагаад ийм,бүдүүлэг ,сэтгэлгүй муухай ,хэрцгий болоод байнаа.Хөдөөний цус ойртсон,тэнэгүүд хотоор нэг болчихлоо.Усанд орохгүй,амаа угаахгүй шал өмхий.Арай л дэндүү байна.",TOXIC,False
25,Хэзээ монгол улсын хууль ийм шударга болох бол?,Хэзээ монгол улсын хууль ийм шударга болох бол?,хэзээ монгол улсын хууль ийм шударга болох бол?,CONSTRUCTIVE,0,0,0,gogo.mn,train,Хэзээ монгол улсын хууль ийм шударга болох бол?,CONSTRUCTIVE,False
26,Эхлээд өмчилхийн шалаг тог мантааж өр төлбөрийн сантехник дулаан алдалт энэ хэдийг шалгандаа,Эхлээд өмчилхийн шалаг тог мантааж өр төлбөрийн сантехник дулаан алдалт энэ хэдийг шалгандаа,эхлээд өмчилхийн шалаг тог мантааж өр төлбөрийн сантехник дулаан алдалт энэ хэдийг шалгандаа,CONSTRUCTIVE,0,0,0,Мэдэхгүй зүйлээ асуу,train,Эхлээд өмчилхийн шалаг тог мантааж өр төлбөрийн сантехник дулаан алдалт энэ хэдийг шалгандаа,CONSTRUCTIVE,False
27,"УИХ,ЗГ ын эрх мэдэл бүхий хүмүүс ажлаа цалгардуулан эрх мэдлийн төлөө тэмцэлдэж байхад яагаад багш ,эмч бусад жирийн олноос ёс суртахуун нэхэж ажил хаяж болохгүй гэж шаардаж байгаа юм бэ .","УИХ,ЗГ ын эрх мэдэл бүхий хүмүүс ажлаа цалгардуулан эрх мэдлийн төлөө тэмцэлдэж байхад яагаад багш ,эмч бусад жирийн олноос ёс суртахуун нэхэж ажил хаяж болохгүй гэж шаардаж байгаа юм бэ .",уих зг ын эрх мэдэл бүхий хүмүүс ажлаа цалгардуулан эрх мэдлийн төлөө тэмцэлдэж байхад яагаад багш эмч бусад жирийн олноос ёс суртахуун нэхэж ажил хаяж болохгүй гэж шаардаж байгаа юм бэ .,CONSTRUCTIVE,0,1,0,gogo.mn,train,"УИХ,ЗГ ын эрх мэдэл бүхий хүмүүс ажлаа цалгардуулан эрх мэдлийн төлөө тэмцэлдэж байхад яагаад багш ,эмч бусад жирийн олноос ёс суртахуун нэхэж ажил хаяж болохгүй гэж шаардаж байгаа юм бэ .",CONSTRUCTIVE,False
28,Хятад мөхөхгүй их гүрэн лаларын монгол л хурдан мөхөөсэй...сда,Хятад мөхөхгүй их гүрэн лаларын монгол л хурдан мөхөөсэй..сда,хятад мөхөхгүй их гүрэн лаларын монгол л хурдан мөхөөсэй..сда,TOXIC,1,0,2,gogo.mn,train,Хятад мөхөхгүй их гүрэн лаларын монгол л хурдан мөхөөсэй..сда,TOXIC,False
29,Абрахам Линкольн үүрэг гүйцэтгэх боломжгүй болсоон. Ираны пуужинд оногдон хэд хэдэн газраа ноцтой гэмтэн тавцан дээр түймэр гарсны улмаас сөнөөгч онгоцууд нь хөөрөх ба буух боломжгүй болж Энэтхэгийн зүг хурдалж цохилтын бүлэглэлийн хөлөг онгоцууд толгойлогч хөлөг Абрахам Линкольноо хамгаалах үүрэггүй болж тархан ухарсан байдалтай бна.,Абрахам Линкольн үүрэг гүйцэтгэх боломжгүй болсоон. Ираны пуужинд оногдон хэд хэдэн газраа ноцтой гэмтэн тавцан дээр түймэр гарсны улмаас сөнөөгч онгоцууд нь хөөрөх ба буух боломжгүй болж Энэтхэгийн зүг хурдалж цохилтын бүлэглэлийн хөлөг онгоцууд толгойлогч хөлөг Абрахам Линкольноо хамгаалах үүрэггүй болж тархан ухарсан байдалтай бна.,абрахам линкольн үүрэг гүйцэтгэх боломжгүй болсоон. ираны пуужинд оногдон хэд хэдэн газраа ноцтой гэмтэн тавцан дээр түймэр гарсны улмаас сөнөөгч онгоцууд нь хөөрөх ба буух боломжгүй болж энэтхэгийн зүг хурдалж цохилтын бүлэглэлийн хөлөг онгоцууд толгойлогч хөлөг абрахам линкольноо хамгаалах үүрэггүй болж тархан ухарсан байдалтай бна.,NEUTRAL,0,12,4,news.mn,test,Абрахам Линкольн үүрэг гүйцэтгэх боломжгүй болсоон. Ираны пуужинд оногдон хэд хэдэн газраа ноцтой гэмтэн тавцан дээр түймэр гарсны улмаас сөнөөгч онгоцууд нь хөөрөх ба буух боломжгүй болж Энэтхэгийн зүг хурдалж цохилтын бүлэглэлийн хөлөг онгоцууд толгойлогч хөлөг Абрахам Линкольноо хамгаалах үүрэггүй болж тархан ухарсан байдалтай бна.,NEUTRAL,False
30,Нөгөөл гоншигноод байдаг аа хийж байх шив дээ,Нөгөөл гоншигноод байдаг аа хийж байх шив дээ,нөгөөл гоншигноод байдаг аа хийж байх шив дээ,NEUTRAL,0,0,0,news.mn,train,Нөгөөл гоншигноод байдаг аа хийж байх шив дээ,NEUTRAL,False
31,Эдний бүтээгдхүүн муудаад дарга нь дээшээ дэвшээд,Эдний бүтээгдхүүн муудаад дарга нь дээшээ дэвшээд,эдний бүтээгдхүүн муудаад дарга нь дээшээ дэвшээд,CONSTRUCTIVE,0,4,0,news.mn,train,Эдний бүтээгдхүүн муудаад дарга нь дээшээ дэвшээд,CONSTRUCTIVE,False
32,"албан тушаалтан бүр жил бүр цөөн хэдэн үйлдвэрээрээ эргэж тойроод л байх. одоо шинэ, бүүр олон жижиг, дунд үйлдвэрүүд нээх, нэхээд нь дэмжлэг үзүүлэх болсон байхаа.","албан тушаалтан бүр жил бүр цөөн хэдэн үйлдвэрээрээ эргэж тойроод л байх. одоо шинэ, бүүр олон жижиг, дунд үйлдвэрүүд нээх, нэхээд нь дэмжлэг үзүүлэх болсон байхаа.",албан тушаалтан бүр жил бүр цөөн хэдэн үйлдвэрээрээ эргэж тойроод л байх. одоо шинэ бүүр олон жижиг дунд үйлдвэрүүд нээх нэхээд нь дэмжлэг үзүүлэх болсон байхаа.,CONSTRUCTIVE,0,1,0,news.mn,test,"албан тушаалтан бүр жил бүр цөөн хэдэн үйлдвэрээрээ эргэж тойроод л байх. одоо шинэ, бүүр олон жижиг, дунд үйлдвэрүүд нээх, нэхээд нь дэмжлэг үзүүлэх болсон байхаа.",CONSTRUCTIVE,False
33,"Олон улсын харилцааны ёс зүйг байнга зөрчиж байгаа энэ хүнээ америкийн ар түмэн татаж авдаггүй юм байх даа, өөрсдийнх нь толгой дээр цахиур хагалах болчихоод байгааг мэдэж л байх ёстой.","Олон улсын харилцааны ёс зүйг байнга зөрчиж байгаа энэ хүнээ америкийн ар түмэн татаж авдаггүй юм байх даа, өөрсдийнх нь толгой дээр цахиур хагалах болчихоод байгааг мэдэж л байх ёстой.",олон улсын харилцааны ёс зүйг байнга зөрчиж байгаа энэ хүнээ америкийн ар түмэн татаж авдаггүй юм байх даа өөрсдийнх нь толгой дээр цахиур хагалах болчихоод байгааг мэдэж л байх ёстой.,CONSTRUCTIVE,0,1,1,gogo.mn,val,"Олон улсын харилцааны ёс зүйг байнга зөрчиж байгаа энэ хүнээ америкийн ар түмэн татаж авдаггүй юм байх даа, өөрсдийнх нь толгой дээр цахиур хагалах болчихоод байгааг мэдэж л байх ёстой.",CONSTRUCTIVE,False
